OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
1,1,5277.765625,384.4183044,13.72922516,369115.625,4070206,74.77961731,22.46554756,14.67887688
2,2,387849408,1303397.75,3094.046143,368557.8125,4049156.25,16013.61914,7709.456543,87.77786255
3,3,1507.932983,164.7507019,13.72922516,368817.5,4070094.25,30.9835434,15.4917717,90
4,4,1507.932983,164.7507019,13.72922516,373499.1563,4058520.5,30.9835434,15.4917717,0
5,5,753.9664917,109.8338013,13.72922516,373705.125,4058438,15.4917717,15.4917717,90
6,6,753.9664917,109.8338013,13.72922516,373677.6563,4058410.5,15.4917717,15.4917717,90
7,7,1507.932983,164.7507019,13.72922516,374048.3438,4058383,30.9835434,15.4917717,0
8,8,753.9664917,109.8338013,13.72922516,373595.2813,4058355.75,15.4917717,15.4917717,90
9,9,753.9664917,109.8338013,13.72922516,373650.1875,4058328.25,15.4917717,15.4917717,90
10,10,1507.932983,164.7507019,13.72922516,373375.5938,4058287,30.9835434,15.4917717,90
11,11,753.9664917,109.8338013,13.72922516,373567.8125,4058300.75,15.4917717,15.4917717,90
12,12,1507.932983,164.7507019,13.72922516,373691.375,4058300.75,30.9835434,15.4917717,0
13,13,2261.899414,219.6676025,13.72922516,373842.4063,4058300.75,53.66506958,13.4162674,0
14,14,753.9664917,109.8338013,13.72922516,375435,4058273.25,15.4917717,15.4917717,90
15,15,753.9664917,109.8338013,13.72922516,373540.3438,4058273.25,15.4917717,15.4917717,90
16,16,753.9664917,109.8338013,13.72922516,373650.1875,4058273.25,15.4917717,15.4917717,90
17,18,18849.16211,988.5042114,19.41312408,373562.3125,4058139.25,137.6676025,43.5823288,130.2424164
18,19,753.9664917,109.8338013,13.72922516,373814.9375,4058245.75,15.4917717,15.4917717,90
19,20,753.9664917,109.8338013,13.72922516,372414.5625,4058218.25,15.4917717,15.4917717,90
20,21,753.9664917,109.8338013,13.72922516,373348.1563,4058218.25,15.4917717,15.4917717,90
21,22,753.9664917,109.8338013,13.72922516,372826.4375,4058191,15.4917717,15.4917717,90
22,23,753.9664917,109.8338013,13.72922516,373183.4063,4058163.5,15.4917717,15.4917717,90
23,24,8293.631836,494.2521057,19.41312408,373448,4058113.5,81.75146484,32.29232407,147.8296356
24,25,6785.698242,549.1690063,13.72922516,373924.7813,4058078,85.25621796,25.33486557,41.30698013
25,26,12063.46387,823.75354,13.72922516,374894.4063,4058052,83.78295135,45.83175659,86.28860474
26,27,3769.83252,274.5845032,13.72922516,375813.9063,4058097.5,45.58966446,26.32120514,18.43494797
27,28,753.9664917,109.8338013,13.72922516,373814.9375,4058108.5,15.4917717,15.4917717,90
28,29,2261.899414,219.6676025,13.72922516,373302.375,4058090.25,35.31360245,20.38831902,135
29,30,3015.865967,274.5845032,13.72922516,373204,4058046.75,48.49186707,19.7967205,18.43494797
30,31,3015.865967,219.6676025,13.72922516,372867.625,4058040,30.9835434,30.9835434,90
31,32,1507.932983,164.7507019,13.72922516,373760.0313,4058012.5,30.9835434,15.4917717,90
32,33,753.9664917,109.8338013,13.72922516,373265.7813,4057998.75,15.4917717,15.4917717,90
33,34,15833.29688,988.5042114,13.72922516,373315.4688,4057858.75,101.7235947,49.54499435,96.19104767
34,35,753.9664917,109.8338013,13.72922516,373375.5938,4057998.75,15.4917717,15.4917717,90
35,36,2261.899414,219.6676025,13.72922516,373430.5313,4057971.25,53.66506958,13.4162674,90
36,37,753.9664917,109.8338013,13.72922516,373073.5625,4057971.25,15.4917717,15.4917717,90
37,39,753.9664917,109.8338013,13.72922516,373512.9063,4057971.25,15.4917717,15.4917717,90
38,40,753.9664917,109.8338013,13.72922516,373677.6563,4057971.25,15.4917717,15.4917717,90
39,41,753.9664917,109.8338013,13.72922516,374858.375,4057943.75,15.4917717,15.4917717,90
40,42,1507.932983,164.7507019,13.72922516,374940.75,4057930,30.9835434,15.4917717,90
41,43,753.9664917,109.8338013,13.72922516,373046.0938,4057943.75,15.4917717,15.4917717,90
42,44,753.9664917,109.8338013,13.72922516,373155.9375,4057916.25,15.4917717,15.4917717,90
43,45,2261.899414,219.6676025,13.72922516,373384.75,4057907.25,35.31360245,20.38831902,45
44,46,1507.932983,164.7507019,13.72922516,374748.5313,4057875.25,30.9835434,15.4917717,90
45,47,1507.932983,164.7507019,13.72922516,374913.2813,4057875.25,30.9835434,15.4917717,90
46,48,753.9664917,109.8338013,13.72922516,374995.6563,4057888.75,15.4917717,15.4917717,90
47,49,1507.932983,164.7507019,13.72922516,374007.1563,4057875.25,30.9835434,15.4917717,90
48,50,753.9664917,109.8338013,13.72922516,372634.2188,4057861.5,15.4917717,15.4917717,90
49,51,753.9664917,109.8338013,13.72922516,372689.1563,4057861.5,15.4917717,15.4917717,90
50,52,2261.899414,219.6676025,13.72922516,373101.0313,4057861.5,53.66506958,13.4162674,0
51,53,753.9664917,109.8338013,13.72922516,373979.6875,4057834,15.4917717,15.4917717,90
52,54,4523.798828,384.4183044,13.72922516,374881.25,4057802,46.92353058,30.68758774,114.6993561
