list,Subregion_Name,HUC_Number,AreaLost,Drainage.Density,Storms,SLR
41,Pee Dee,304,1642,1.616276759,22,2.985
38,Altamaha-St. Marys,307,1122,1.235138836,18,2.435
36,Neuse-Pamlico,302,1102,1.601419138,29,4.15
31,Edisto-Santee,305,1059,1.753662985,19,3.32
42,Suwannee,311,927,2.268156515,16,2.19
35,Chowan-Roanoke,301,782,1.630074074,32,4.7875
30,Ogeechee-Savannah,306,755,1.392098746,17,3.33
43,St. Johns,308,628,1.068836646,13,2.72
49,Southern Florida,309,521,1.594985502,16,3.203333333
51,Choctawhatchee-Escambia,314,496,3.683218652,16,3.3875
46,Pascagoula,317,445,2.351867027,12,4.81
44,Peace-Tampa Bay,310,389,1.599396373,7,3.37
37,Apalachicola,313,372,14.15592629,13,2.56
17,Louisiana Coastal,808,230,7.671182868,9,7.845
