OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
1,0,96523664,468553.125,6308.470215,401044.125,3979451.25,7639.143066,4021.974121,3.822633982
2,2412,33155976,349053.4063,460.6724548,401204.4063,3981076.75,5043.583984,2092.534668,161.2457123
3,2413,2261.919922,219.6685944,13.72928715,395233.0938,3983860.5,53.66531372,13.41632843,0
4,2414,2261.919922,219.6685944,13.72928715,395315.4688,3983833,53.66531372,13.41632843,0
5,2415,753.9733276,109.8342972,13.72928715,394381.875,3983778,15.49184132,15.49184132,90
6,2416,753.9733276,109.8342972,13.72928715,395452.75,3983778,15.49184132,15.49184132,90
7,2417,2261.919922,219.6685944,13.72928715,395983.625,3983741.5,35.31376266,20.38841057,45
8,2418,1507.946655,164.7514496,13.72928715,394203.375,3983723.25,30.98368263,15.49184132,0
9,2419,753.9733276,109.8342972,13.72928715,394162.1875,3983695.75,15.49184132,15.49184132,90
10,2420,753.9733276,109.8342972,13.72928715,394134.75,3983668.25,15.49184132,15.49184132,90
11,2421,753.9733276,109.8342972,13.72928715,394162.1875,3983640.75,15.49184132,15.49184132,90
12,2422,4523.839844,329.5028992,13.72928715,395741.0625,3983599.5,59.39043045,24.24604225,18.43494797
13,2423,1507.946655,164.7514496,13.72928715,395493.9375,3983586,30.98368263,15.49184132,0
14,2425,753.9733276,109.8342972,13.72928715,393997.4375,3983586,15.49184132,15.49184132,90
15,2426,3015.893311,219.6685944,13.72928715,393956.25,3983544.75,30.98368263,30.98368263,90
16,2427,1507.946655,164.7514496,13.72928715,395850.9063,3983503.5,30.98368263,15.49184132,0
17,2428,1507.946655,164.7514496,13.72928715,395603.7813,3983476,30.98368263,15.49184132,0
18,2429,1507.946655,164.7514496,13.72928715,400820.9063,3983393.75,30.98368263,15.49184132,0
19,2430,2261.919922,219.6685944,13.72928715,398271.8438,3983348,35.31376266,20.38841057,45
20,2431,753.9733276,109.8342972,13.72928715,397978.9375,3983338.75,15.49184132,15.49184132,90
21,2432,1507.946655,164.7514496,13.72928715,398102.5,3983338.75,30.98368263,15.49184132,0
22,2433,2261.919922,219.6685944,13.72928715,403763.5625,3983265.5,35.31376266,20.38841057,45
